,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,PDB_IDs
0,3.7470027081099033e-16,1.7763568394002505e-15,-8.348877145181177e-14,3.836930773104541e-13,6.912159733474255e-11,-1.199040866595169e-14,-8.881784197001252e-16,1.1581846592889633e-12,-1.0800249583553523e-12,-7.105427357601002e-15,-1.1723955140041653e-12,5.144329406903125e-12,1.4601653219870059e-12,-4.5844217311241664e-11,-1.2465761756175198e-10,-9.103828801926284e-15,1.7763568394002505e-15,5.826450433232822e-13,-2.8421709430404007e-12,-8.526512829121202e-14,-1.1368683772161603e-13,-2.5295321393059567e-12,2.9416469260468148e-12,-9.947598300641403e-13,-1.1425527191022411e-11,1.0036416142611415e-13,-9.379164112033322e-13,-2.7853275241795927e-12,5.684341886080802e-14,-4.149569576838985e-12,1.1823431123048067e-11,2.1600499167107046e-12,-7.617018127348274e-12,-3.410605131648481e-12,-6.866684998385608e-11,1w8l
1,3.608224830031759e-16,2.6645352591003757e-14,4.192202140984591e-13,7.290168468898628e-12,3.183231456205249e-10,-8.08242361927114e-14,-1.7053025658242404e-13,-4.433786671143025e-12,8.753886504564434e-10,-2.7853275241795927e-12,1.1368683772161603e-11,5.4569682106375694e-11,-1.3596945791505277e-10,-9.89530235528946e-10,-2.2992026060819626e-09,5.551115123125783e-15,-1.3642420526593924e-12,-1.432454155292362e-11,2.2919266484677792e-10,-2.4584778657299466e-12,-1.4097167877480388e-11,3.827153705060482e-09,8.753886504564434e-11,-6.897607818245888e-09,-7.07223080098629e-09,-3.0411229090532288e-12,-4.274625098332763e-11,-6.402842700481415e-10,-8.731149137020111e-11,-2.491287887096405e-08,1.8844730220735073e-08,0.0,1.6763806343078613e-08,-3.620516508817673e-08,4.7497451305389404e-08,1wkm
2,0.0,0.0,2.1316282072803006e-14,-2.8421709430404007e-13,2.3419488570652902e-11,2.6645352591003757e-15,-1.4210854715202004e-14,4.263256414560601e-13,6.821210263296962e-13,2.6290081223123707e-13,0.0,7.503331289626658e-12,-5.684341886080801e-13,-2.2737367544323206e-13,1.3642420526593924e-11,-2.6645352591003757e-15,-2.984279490192421e-13,-2.8421709430404007e-13,-3.865352482534945e-12,0.0,1.9895196601282805e-12,1.1368683772161603e-12,0.0,-5.002220859751105e-12,-2.2737367544323206e-12,-1.4210854715202004e-13,0.0,-1.1823431123048067e-11,-7.958078640513122e-13,1.6370904631912708e-11,-1.3642420526593924e-12,1.3642420526593924e-11,2.1827872842550278e-11,-1.0913936421275139e-11,-1.3096723705530167e-10,2a31
3,4.996003610813204e-16,-5.995204332975845e-15,-8.049116928532385e-15,-1.3801404463720246e-11,3.6054714769306884e-11,3.1086244689504383e-15,-5.5067062021407764e-14,1.1612932837579137e-11,5.780975698144175e-11,-4.760636329592671e-13,-2.5295321393059567e-12,-9.189449201585376e-11,-1.3642420526593924e-12,-1.177227204607334e-10,-1.9599610823206604e-10,3.9968028886505635e-15,6.217248937900877e-15,-1.7361667659088198e-12,-6.635580973579636e-12,2.4868995751603507e-14,-7.460698725481052e-14,3.68771679859492e-12,7.673861546209082e-13,7.688072400924284e-12,1.2505552149377763e-11,-3.108624468950438e-14,6.039613253960852e-13,-5.124789481669723e-13,-1.3002932064409833e-12,2.842170943040401e-14,-7.489120434911456e-12,1.8456347561368602e-12,-1.3447909452679596e-11,5.8193450058752205e-12,-1.496882617857409e-10,1b74
4,-1.3183898417423734e-15,-2.1066481892262345e-14,-3.9968028886505635e-14,3.339550858072471e-13,-5.3859139370615594e-12,-6.328271240363392e-15,1.9761969838327786e-14,1.6058265828178264e-12,-6.224354365258478e-11,-1.900701818158268e-13,-2.106759211528697e-12,-1.8962964531965554e-10,-1.389821591146756e-11,-5.218225851422176e-11,-2.560227585490793e-09,7.049916206369744e-15,-1.2945200467129325e-13,-3.730349362740526e-13,-8.662937034387141e-11,-7.105427357601002e-15,-5.6559201766503975e-12,-8.765255188336596e-11,7.247535904753022e-12,7.281641956069507e-11,-3.7539393815677613e-10,8.260059303211165e-14,1.822542117224657e-12,1.766125024005305e-10,5.897504706808832e-13,-1.1817746781161986e-10,7.503331289626658e-12,3.552713678800501e-13,2.2996005100139882e-10,3.4700065043580253e-10,1.7195134205394424e-11,1qpb
5,-6.661338147750939e-16,0.0,-1.9184653865522705e-13,-1.1937117960769683e-12,1.77351466845721e-11,1.7763568394002505e-15,1.4210854715202004e-14,-1.9895196601282805e-13,-8.640199666842818e-12,7.105427357601002e-14,3.410605131648481e-13,-3.637978807091713e-12,1.6768808563938364e-12,2.7284841053187847e-12,-6.59383658785373e-12,1.2434497875801753e-14,0.0,-1.4779288903810084e-12,3.410605131648481e-11,-1.4210854715202004e-14,2.8421709430404007e-13,1.3642420526593924e-12,-1.7053025658242404e-13,1.3642420526593924e-12,2.091837814077735e-11,-1.4210854715202004e-13,4.547473508864641e-13,-4.547473508864641e-13,1.4779288903810084e-12,-2.7284841053187847e-12,7.275957614183426e-12,0.0,4.3655745685100555e-11,4.547473508864641e-12,8.185452315956354e-12,1tnk
6,6.938893903907228e-18,7.327471962526033e-15,7.283063041541027e-14,7.815970093361102e-14,-6.784262041037437e-11,-3.774758283725532e-15,-4.6629367034256575e-15,-4.218847493575595e-13,7.673861546209082e-13,1.4477308241112041e-13,-1.9804158313263542e-12,-2.176392399633187e-11,7.993605777301127e-14,-3.8902214782865485e-13,-4.339995030022692e-11,5.995204332975845e-15,-2.6645352591003757e-15,-1.0587086762825493e-12,-3.694822225952521e-12,-9.958700530887654e-14,-7.638334409421077e-14,-8.810729923425242e-13,4.211742066217994e-12,-2.7142732506035827e-12,2.4016344468691386e-12,6.572520305780927e-14,-1.0089706847793423e-12,3.694822225952521e-12,3.268496584496461e-13,-5.968558980384842e-13,-1.2065015653206501e-11,-1.4779288903810084e-12,-2.9558577807620168e-12,6.59383658785373e-12,6.366462912410498e-11,1w8m
7,-5.551115123125783e-17,3.1086244689504383e-15,8.100187187665142e-13,-1.602984411874786e-11,-1.000444171950221e-10,-8.881784197001252e-16,-1.6342482922482304e-13,-5.172751116333529e-12,-7.09405867382884e-11,-2.7711166694643907e-13,4.433786671143025e-12,1.1368683772161603e-10,-6.423306331271306e-12,6.684786058031023e-11,6.275513442233205e-11,1.1657341758564144e-14,1.412203687323199e-13,-5.4427573559223674e-12,4.5929482439532876e-11,7.549516567451064e-15,1.4921397450962104e-12,1.864464138634503e-11,2.1316282072803006e-12,2.0463630789890885e-12,9.197265171678737e-11,-2.327471548824178e-12,2.2808421817899216e-12,-3.342393029015511e-11,5.684341886080801e-13,4.2945202949340455e-11,-3.6692426874651574e-11,-6.465938895416912e-13,-1.2448708730516955e-11,1.8474111129762605e-12,-1.4301804185379297e-10,1ga8
8,-2.6645352591003757e-15,9.880984919163893e-15,-2.3092638912203256e-14,-2.418731881448366e-12,-2.9679370072699385e-11,1.7763568394002505e-14,-2.842170943040401e-14,1.0409451078885468e-12,1.2171597063570516e-11,3.019806626980426e-13,-7.318590178329032e-12,-5.4711790653527714e-12,4.746425474877469e-12,-4.277467269275803e-11,3.68913788406644e-10,-3.552713678800501e-15,1.0835776720341528e-13,4.725109192804666e-13,4.650502205549856e-12,-2.6290081223123707e-13,-5.4924953474255744e-12,-6.394884621840902e-13,-3.268496584496461e-12,-6.710365596518386e-11,9.481482265982777e-11,2.984279490192421e-13,-3.211653165635653e-12,5.711342510039685e-11,-1.7394086171407253e-11,2.0463630789890885e-12,1.127773430198431e-10,-6.30961949354969e-12,8.526512829121202e-13,-7.503331289626658e-12,-1.2892087397631258e-10,1d5r
9,-1.3877787807814457e-15,-1.9761969838327786e-14,1.758593271006248e-13,1.5347723092418164e-12,-2.7284841053187847e-12,-7.993605777301127e-15,-1.9184653865522705e-13,5.400124791776761e-13,4.547473508864641e-11,3.694822225952521e-13,-1.1596057447604835e-11,-1.1823431123048067e-11,0.0,1.0913936421275139e-10,-7.566995918750763e-10,-4.884981308350689e-15,-6.217248937900877e-15,-6.536993168992922e-13,6.480149750132114e-12,3.126388037344441e-13,-5.968558980384842e-13,1.8189894035458565e-12,1.3642420526593924e-12,2.7284841053187847e-12,-2.3283064365386963e-10,-8.171241461241152e-14,-9.237055564881302e-13,2.333422344236169e-11,-2.8421709430404007e-13,1.8189894035458565e-12,-1.8189894035458565e-12,2.1316282072803006e-13,3.893774191965349e-12,-7.867129170335829e-11,2.5579538487363607e-11,1rdn
