,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,PDB_IDs
0,3.7470027081099033e-16,1.7763568394002505e-15,-8.348877145181177e-14,3.836930773104541e-13,-1.199040866595169e-14,-8.881784197001252e-16,1.1581846592889633e-12,-7.105427357601002e-15,-1.1723955140041653e-12,1.4601653219870059e-12,-9.103828801926284e-15,1.7763568394002505e-15,5.826450433232822e-13,-8.526512829121202e-14,-1.1368683772161603e-13,2.9416469260468148e-12,1.0036416142611415e-13,-9.379164112033322e-13,5.684341886080802e-14,2.1600499167107046e-12,1w8l
1,3.608224830031759e-16,2.6645352591003757e-14,4.192202140984591e-13,7.290168468898628e-12,-8.08242361927114e-14,-1.7053025658242404e-13,-4.433786671143025e-12,-2.7853275241795927e-12,1.1368683772161603e-11,-1.3596945791505277e-10,5.551115123125783e-15,-1.3642420526593924e-12,-1.432454155292362e-11,-2.4584778657299466e-12,-1.4097167877480388e-11,8.753886504564434e-11,-3.0411229090532288e-12,-4.274625098332763e-11,-8.731149137020111e-11,0.0,1wkm
2,0.0,0.0,2.1316282072803006e-14,-2.8421709430404007e-13,2.6645352591003757e-15,-1.4210854715202004e-14,4.263256414560601e-13,2.6290081223123707e-13,0.0,-5.684341886080801e-13,-2.6645352591003757e-15,-2.984279490192421e-13,-2.8421709430404007e-13,0.0,1.9895196601282805e-12,0.0,-1.4210854715202004e-13,0.0,-7.958078640513122e-13,1.3642420526593924e-11,2a31
3,4.996003610813204e-16,-5.995204332975845e-15,-8.049116928532385e-15,-1.3801404463720246e-11,3.1086244689504383e-15,-5.5067062021407764e-14,1.1612932837579137e-11,-4.760636329592671e-13,-2.5295321393059567e-12,-1.3642420526593924e-12,3.9968028886505635e-15,6.217248937900877e-15,-1.7361667659088198e-12,2.4868995751603507e-14,-7.460698725481052e-14,7.673861546209082e-13,-3.108624468950438e-14,6.039613253960852e-13,-1.3002932064409833e-12,1.8456347561368602e-12,1b74
4,-1.3183898417423734e-15,-2.1066481892262345e-14,-3.9968028886505635e-14,3.339550858072471e-13,-6.328271240363392e-15,1.9761969838327786e-14,1.6058265828178264e-12,-1.900701818158268e-13,-2.106759211528697e-12,-1.389821591146756e-11,7.049916206369744e-15,-1.2945200467129325e-13,-3.730349362740526e-13,-7.105427357601002e-15,-5.6559201766503975e-12,7.247535904753022e-12,8.260059303211165e-14,1.822542117224657e-12,5.897504706808832e-13,3.552713678800501e-13,1qpb
5,-6.661338147750939e-16,0.0,-1.9184653865522705e-13,-1.1937117960769683e-12,1.7763568394002505e-15,1.4210854715202004e-14,-1.9895196601282805e-13,7.105427357601002e-14,3.410605131648481e-13,1.6768808563938364e-12,1.2434497875801753e-14,0.0,-1.4779288903810084e-12,-1.4210854715202004e-14,2.8421709430404007e-13,-1.7053025658242404e-13,-1.4210854715202004e-13,4.547473508864641e-13,1.4779288903810084e-12,0.0,1tnk
6,6.938893903907228e-18,7.327471962526033e-15,7.283063041541027e-14,7.815970093361102e-14,-3.774758283725532e-15,-4.6629367034256575e-15,-4.218847493575595e-13,1.4477308241112041e-13,-1.9804158313263542e-12,7.993605777301127e-14,5.995204332975845e-15,-2.6645352591003757e-15,-1.0587086762825493e-12,-9.958700530887654e-14,-7.638334409421077e-14,4.211742066217994e-12,6.572520305780927e-14,-1.0089706847793423e-12,3.268496584496461e-13,-1.4779288903810084e-12,1w8m
7,-5.551115123125783e-17,3.1086244689504383e-15,8.100187187665142e-13,-1.602984411874786e-11,-8.881784197001252e-16,-1.6342482922482304e-13,-5.172751116333529e-12,-2.7711166694643907e-13,4.433786671143025e-12,-6.423306331271306e-12,1.1657341758564144e-14,1.412203687323199e-13,-5.4427573559223674e-12,7.549516567451064e-15,1.4921397450962104e-12,2.1316282072803006e-12,-2.327471548824178e-12,2.2808421817899216e-12,5.684341886080801e-13,-6.465938895416912e-13,1ga8
8,-2.6645352591003757e-15,9.880984919163893e-15,-2.3092638912203256e-14,-2.418731881448366e-12,1.7763568394002505e-14,-2.842170943040401e-14,1.0409451078885468e-12,3.019806626980426e-13,-7.318590178329032e-12,4.746425474877469e-12,-3.552713678800501e-15,1.0835776720341528e-13,4.725109192804666e-13,-2.6290081223123707e-13,-5.4924953474255744e-12,-3.268496584496461e-12,2.984279490192421e-13,-3.211653165635653e-12,-1.7394086171407253e-11,-6.30961949354969e-12,1d5r
9,-1.3877787807814457e-15,-1.9761969838327786e-14,1.758593271006248e-13,1.5347723092418164e-12,-7.993605777301127e-15,-1.9184653865522705e-13,5.400124791776761e-13,3.694822225952521e-13,-1.1596057447604835e-11,0.0,-4.884981308350689e-15,-6.217248937900877e-15,-6.536993168992922e-13,3.126388037344441e-13,-5.968558980384842e-13,1.3642420526593924e-12,-8.171241461241152e-14,-9.237055564881302e-13,-2.8421709430404007e-13,2.1316282072803006e-13,1rdn
10,1.3322676295501878e-15,-2.220446049250313e-14,-2.842170943040401e-14,-1.0231815394945443e-12,1.7763568394002505e-15,-5.684341886080802e-14,2.842170943040401e-14,4.263256414560601e-14,3.410605131648481e-13,2.3874235921539366e-12,1.5987211554602254e-14,2.7711166694643907e-13,-3.410605131648481e-12,0.0,0.0,5.684341886080802e-14,-4.689582056016661e-13,1.1368683772161603e-13,1.5916157281026244e-12,-1.5916157281026244e-12,1tnl
11,-8.881784197001252e-16,1.3322676295501878e-15,-9.237055564881302e-14,-5.115907697472721e-13,-4.3298697960381105e-15,-8.43769498715119e-15,5.719869022868806e-13,1.0400014183176154e-13,1.3322676295501878e-13,-2.90789614609821e-12,-8.881784197001252e-16,5.3290705182007514e-14,5.684341886080802e-14,1.894040480010517e-13,4.636291350834654e-13,3.086420008457935e-13,-3.552713678800501e-14,5.258016244624741e-13,-1.0871303857129533e-12,-2.7000623958883807e-13,1f2p
12,-3.4416913763379853e-15,-8.881784197001252e-16,5.684341886080802e-14,1.1368683772161603e-13,3.3306690738754696e-16,3.8968828164342995e-14,-1.3500311979441904e-13,3.490541189421492e-13,6.84230450076484e-13,-2.1582735598713043e-13,-4.440892098500626e-16,1.7763568394002505e-14,-2.5579538487363607e-13,1.1191048088221578e-13,1.4077627952246985e-12,4.689582056016661e-13,-1.7763568394002505e-15,-3.979039320256561e-13,-6.465938895416912e-13,1.9610979506978765e-12,1f2o
13,0.0,1.7763568394002505e-15,-9.237055564881302e-14,1.1368683772161603e-13,8.881784197001252e-16,1.4210854715202004e-14,2.2737367544323206e-13,1.2079226507921703e-13,2.2737367544323206e-13,9.663381206337363e-13,-5.329070518200751e-15,-6.394884621840902e-14,1.1368683772161603e-12,7.105427357601002e-15,3.410605131648481e-13,-5.684341886080802e-14,4.973799150320701e-13,1.3642420526593924e-12,3.410605131648481e-13,1.1368683772161603e-13,1tnj
14,4.996003610813204e-16,3.108624468950438e-14,1.9042545318370685e-12,1.4097167877480388e-11,-2.55351295663786e-15,-3.4994229736184934e-13,4.348521542851813e-12,3.623767952376511e-13,-5.7198690228688065e-12,-1.7883472480662022e-12,-4.440892098500626e-15,-4.263256414560601e-14,7.958078640513122e-13,5.666578317686799e-13,3.652189661806915e-12,-1.9895196601282805e-12,2.6290081223123707e-13,5.314859663485549e-12,-5.613287612504791e-13,2.8350655156827997e-12,1jfh
